TimeStep, Blip Population
0,20
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,21
22,21
23,22
24,22
25,22
26,23
27,23
28,23
29,23
30,23
31,23
32,23
33,23
34,23
35,22
36,22
37,23
38,24
39,23
40,23
41,24
42,24
43,23
44,23
45,22
46,22
47,22
48,22
49,22
50,22
51,22
52,22
53,23
54,23
55,23
56,24
57,24
58,24
59,24
60,24
61,25
62,26
63,27
64,27
65,26
66,26
67,27
68,27
69,27
70,27
71,27
72,27
73,28
74,28
75,28
76,28
77,28
78,28
79,30
80,30
81,30
82,30
83,30
84,29
85,29
86,30
87,32
88,32
89,32
90,31
91,31
92,32
93,31
94,31
95,32
96,33
97,35
98,35
99,36
100,23
101,23
102,23
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,23
112,23
113,23
114,24
115,23
116,24
117,24
118,24
119,24
120,24
121,24
122,24
123,26
124,26
125,26
126,26
127,26
128,26
129,26
130,26
131,26
132,25
133,26
134,27
135,27
136,27
137,28
138,27
139,27
140,27
141,28
142,27
143,27
144,26
145,27
146,27
147,27
148,27
149,27
150,27
151,27
152,27
153,27
154,27
155,28
156,26
157,27
158,27
159,27
160,27
161,26
162,26
163,26
164,27
165,27
166,27
167,26
168,26
169,26
170,26
171,27
172,28
173,28
174,28
175,28
176,28
177,28
178,28
179,27
180,26
181,26
182,26
183,26
184,26
185,27
186,26
187,24
188,25
189,25
190,25
191,25
192,25
193,25
194,26
195,25
196,24
197,23
198,23
199,23
200,23
201,23
202,23
203,23
204,23
205,24
206,24
207,24
208,25
209,25
210,26
211,26
212,26
213,26
214,25
215,25
216,25
217,25
218,26
219,27
220,27
221,26
222,26
223,24
224,23
225,23
226,23
227,24
228,25
229,25
230,25
231,25
232,25
233,25
234,24
235,24
236,24
237,25
238,25
239,25
240,23
241,21
242,21
243,22
244,22
245,22
246,22
247,22
248,22
249,22
250,22
251,22
252,21
253,21
254,21
255,21
256,21
257,20
258,20
259,21
260,20
261,20
262,19
263,19
264,18
265,18
266,19
267,19
268,19
269,19
270,19
271,19
272,18
273,18
274,18
275,18
276,18
277,18
278,18
279,18
280,17
281,17
282,17
283,17
284,17
285,16
286,16
287,16
288,16
289,16
290,16
291,17
292,16
293,15
294,15
295,15
296,15
297,15
298,16
299,15
300,15
301,15
302,15
303,15
304,15
305,12
306,12
307,12
308,11
309,12
310,13
311,13
312,13
313,13
314,12
315,13
316,13
317,13
318,13
319,13
320,14
321,14
322,14
323,14
324,14
325,14
326,13
327,12
328,11
329,11
330,11
331,11
332,11
333,11
334,11
335,11
336,12
337,11
338,11
339,11
340,11
341,11
342,11
343,11
344,11
345,11
346,10
347,10
348,10
349,10
350,10
351,10
352,10
353,10
354,11
355,11
356,11
357,11
358,10
359,9
360,9
361,9
362,9
363,8
364,8
365,8
366,8
367,8
368,8
369,9
370,9
371,9
372,8
373,8
374,8
375,8
376,8
377,8
378,8
379,8
380,8
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,5
389,5
390,5
391,4
392,4
393,4
394,4
395,4
396,4
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
