TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
0	50	1,474149	6,031551	0	0	0
1	50	1,474149	6,031551	0	0	0
2	50	1,474149	6,031551	0	0	0
3	50	1,474149	6,031551	0	0	0
4	50	1,474149	6,031551	0	0	0
5	50	1,474149	6,031551	0	0	0
6	50	1,474149	6,031551	0	0	0
7	50	1,474149	6,031551	0	0	0
8	50	1,474149	6,031551	0	0	0
9	50	1,474149	6,031551	0	0	0
10	50	1,474149	6,031551	0	0	0
11	50	1,474149	6,031551	0	0	0
12	50	1,474149	6,031551	0	0	0
13	50	1,474149	6,031551	0	0	0
14	50	1,474149	6,031551	0	0	0
15	50	1,474149	6,031551	0	0	0
16	50	1,474149	6,031551	0	0	0
17	50	1,474149	6,031551	0	0	0
18	50	1,474149	6,031551	0	0	0
19	50	1,474149	6,031551	0	0	0
20	50	1,474149	6,031551	0	0	0
21	50	1,474149	6,031551	0	0	0
22	50	1,474149	6,031551	0	0	0
23	50	1,474149	6,031551	0	0	0
24	50	1,474149	6,031551	0	0	0
25	51	1,473777	6,02542	0	0	0
26	51	1,473777	6,02542	0	0	0
27	51	1,473777	6,02542	0	0	0
28	51	1,473777	6,02542	0	0	0
29	51	1,473777	6,02542	0	0	0
30	53	1,465012	6,040009	0	0	0
31	54	1,478866	6,080131	0	0	0
32	54	1,478866	6,080131	0	0	0
33	54	1,478866	6,080131	0	0	0
34	54	1,478866	6,080131	0	0	0
35	54	1,478866	6,080131	0	0	0
36	54	1,478866	6,080131	0	0	0
37	54	1,478866	6,080131	0	0	0
38	54	1,478866	6,080131	0	0	0
39	54	1,478866	6,080131	0	0	0
40	54	1,478866	6,080131	0	0	0
41	54	1,478866	6,080131	0	0	0
42	54	1,478866	6,080131	0	0	0
43	55	1,478972	6,098022	0	0	0
44	57	1,479434	6,10262	0	0	0
45	57	1,479434	6,10262	0	0	0
46	57	1,479434	6,10262	0	0	0
47	58	1,473318	6,113118	0	0	0
48	57	1,462362	6,151963	0	0	0
49	58	1,473048	6,164474	0	0	0
50	60	1,458252	6,219034	0	0	0
51	60	1,458252	6,219034	0	0	0
52	61	1,467935	6,249049	0	0	0
53	62	1,47212	6,303222	0	0	0
54	62	1,47212	6,303222	0	0	0
55	62	1,47212	6,303222	0	0	0
56	63	1,479583	6,31042	0	0	0
57	63	1,479583	6,31042	0	0	0
58	63	1,479583	6,31042	0	0	0
59	63	1,479583	6,31042	0	0	0
60	63	1,479583	6,31042	0	0	0
61	63	1,479583	6,31042	0	0	0
62	63	1,479583	6,31042	0	0	0
63	64	1,468867	6,318932	0	0	0
64	64	1,468867	6,318932	0	0	0
65	64	1,468867	6,318932	0	0	0
66	64	1,468867	6,318932	0	0	0
67	65	1,476261	6,286769	0	0	0
68	65	1,476261	6,286769	0	0	0
69	67	1,479564	6,312652	0	0	0
70	68	1,478578	6,286769	0	0	0
71	68	1,478578	6,286769	0	0	0
72	69	1,478193	6,268321	0	0	0
73	69	1,478193	6,268321	0	0	0
74	70	1,467053	6,269558	0	0	0
75	71	1,469902	6,253459	0	0	0
76	71	1,469902	6,253459	0	0	0
77	71	1,469902	6,253459	0	0	0
78	72	1,477949	6,270803	0	0	0
79	74	1,476424	6,268987	0	0	0
80	74	1,476424	6,268987	0	0	0
81	74	1,476424	6,268987	0	0	0
82	74	1,476424	6,268987	0	0	0
83	74	1,476424	6,268987	0	0	0
84	75	1,47778	6,269404	0	0	0
85	75	1,47778	6,269404	0	0	0
86	75	1,47778	6,269404	0	0	0
87	75	1,47778	6,269404	0	0	0
88	76	1,481791	6,230458	0	0	0
89	76	1,481791	6,230458	0	0	0
90	78	1,484236	6,226097	0	0	0
91	80	1,487539	6,220558	0	0	0
92	80	1,487539	6,220558	0	0	0
93	82	1,477572	6,208979	0	0	0
94	82	1,477572	6,208979	0	0	0
95	83	1,476162	6,241389	0	0	0
96	84	1,479205	6,255589	0	0	0
97	84	1,479205	6,255589	0	0	0
98	84	1,479205	6,255589	0	0	0
99	84	1,479205	6,255589	0	0	0
100	84	1,479205	6,255589	0	0	0
101	84	1,479205	6,255589	0	0	0
102	83	1,478899	6,270066	0	0	0
103	83	1,478899	6,270066	0	0	0
104	83	1,476643	6,269733	0	0	0
105	83	1,476643	6,269733	0	0	0
106	85	1,486948	6,254609	0	0	0
107	84	1,485868	6,28367	0	0	0
108	86	1,501232	6,292794	0	0	0
109	85	1,502907	6,281674	0	0	0
110	86	1,507883	6,281736	0	0	0
111	85	1,512267	6,289009	0	0	0
112	84	1,508687	6,259168	0	0	0
113	85	1,510188	6,277936	0	0	0
114	87	1,50712	6,283398	0	0	0
115	87	1,50712	6,283398	0	0	0
116	89	1,504864	6,255966	0	0	0
117	89	1,504864	6,255966	0	0	0
118	87	1,49437	6,234011	0	0	0
119	88	1,492837	6,263361	0	0	0
120	89	1,485374	6,283327	0	0	0
121	90	1,483824	6,272468	0	0	0
122	89	1,479132	6,28893	0	0	0
123	88	1,479713	6,286847	0	0	0
124	88	1,479713	6,286847	0	0	0
125	89	1,476103	6,287945	0	0	0
126	89	1,476103	6,287945	0	0	0
127	90	1,475038	6,281906	0	0	0
128	89	1,480327	6,274912	0	0	0
129	88	1,483525	6,288848	0	0	0
130	86	1,487563	6,257782	0	0	0
131	86	1,487563	6,257782	0	0	0
132	86	1,487563	6,257782	0	0	0
133	85	1,49182	6,255489	0	0	0
134	86	1,483035	6,241957	0	0	0
135	87	1,490513	6,251124	0	0	0
136	88	1,478348	6,291661	0	0	0
137	86	1,483958	6,319736	0	0	0
138	86	1,483958	6,319736	0	0	0
139	86	1,474696	6,33496	0	0	0
140	85	1,473176	6,312176	0	0	0
141	84	1,473427	6,327632	0	0	0
142	84	1,473427	6,327632	0	0	0
143	84	1,468067	6,311511	0	0	0
144	85	1,475909	6,286321	0	0	0
145	86	1,482308	6,278361	0	0	0
146	86	1,482308	6,278361	0	0	0
147	88	1,478801	6,29012	0	0	0
148	87	1,470749	6,322404	0	0	0
149	87	1,470749	6,322404	0	0	0
150	87	1,470749	6,322404	0	0	0
151	88	1,477747	6,321289	0	0	0
152	89	1,47851	6,348428	0	0	0
153	88	1,475383	6,378336	0	0	0
154	88	1,475383	6,378336	0	0	0
155	88	1,475383	6,378336	0	0	0
156	91	1,469666	6,370468	0	0	0
157	92	1,465723	6,376647	0	0	0
158	93	1,464288	6,393886	0	0	0
159	93	1,464288	6,393886	0	0	0
160	94	1,468849	6,389072	0	0	0
161	94	1,459181	6,392275	0	0	0
162	95	1,45844	6,435287	0	0	0
163	96	1,454203	6,421463	0	0	0
164	95	1,459067	6,420014	0	0	0
165	96	1,465394	6,426163	0	0	0
166	94	1,466422	6,416578	0	0	0
167	94	1,466422	6,416578	0	0	0
168	94	1,466422	6,416578	0	0	0
169	95	1,462639	6,436309	0	0	0
170	91	1,468228	6,440369	0	0	0
171	91	1,468228	6,440369	0	0	0
172	91	1,468228	6,440369	0	0	0
173	91	1,477529	6,484396	0	0	0
174	91	1,477529	6,484396	0	0	0
175	91	1,477529	6,484396	0	0	0
176	92	1,47942	6,456729	0	0	0
177	92	1,484503	6,41909	0	0	0
178	90	1,493182	6,427512	0	0	0
179	90	1,490118	6,455661	0	0	0
180	91	1,498651	6,451935	0	0	0
181	91	1,50097	6,470824	0	0	0
182	91	1,510712	6,473886	0	0	0
183	90	1,513115	6,507092	0	0	0
184	90	1,513115	6,507092	0	0	0
185	90	1,513115	6,507092	0	0	0
186	91	1,506126	6,540371	0	0	0
187	92	1,503054	6,545705	0	0	0
188	92	1,503054	6,545705	0	0	0
189	90	1,501647	6,570365	0	0	0
190	89	1,500348	6,597704	0	0	0
191	89	1,48905	6,629898	0	0	0
192	89	1,504883	6,641142	0	0	0
193	90	1,497532	6,618661	0	0	0
194	88	1,498871	6,61957	0	0	0
195	88	1,498871	6,61957	0	0	0
196	88	1,498871	6,61957	0	0	0
197	88	1,498871	6,61957	0	0	0
198	87	1,493691	6,647056	0	0	0
199	88	1,491786	6,614978	0	0	0
200	89	1,491134	6,636752	0	0	0
201	90	1,488254	6,632463	0	0	0
202	92	1,486446	6,647624	0	0	0
203	92	1,486446	6,647624	0	0	0
204	94	1,483697	6,64601	0	0	0
205	95	1,478799	6,629442	0	0	0
206	97	1,478475	6,663373	0	0	0
207	97	1,478475	6,663373	0	0	0
208	97	1,478475	6,663373	0	0	0
209	97	1,478475	6,663373	0	0	0
210	97	1,478475	6,663373	0	0	0
211	97	1,478475	6,663373	0	0	0
212	97	1,477641	6,646233	0	0	0
213	96	1,473314	6,653576	0	0	0
214	96	1,473314	6,653576	0	0	0
215	98	1,481881	6,670456	0	0	0
216	98	1,481881	6,670456	0	0	0
217	99	1,479305	6,680138	0	0	0
218	100	1,485349	6,673386	0	0	0
219	101	1,476496	6,67242	0	0	0
220	103	1,484073	6,721136	0	0	0
221	103	1,484073	6,721136	0	0	0
222	106	1,490444	6,730461	0	0	0
223	106	1,490444	6,730461	0	0	0
224	107	1,494944	6,707538	0	0	0
225	107	1,493797	6,684564	0	0	0
226	107	1,493797	6,684564	0	0	0
227	108	1,49413	6,695136	0	0	0
228	108	1,49413	6,695136	0	0	0
229	109	1,49958	6,704276	0	0	0
230	108	1,509504	6,706171	0	0	0
231	107	1,502928	6,692147	0	0	0
232	109	1,510378	6,708804	0	0	0
233	110	1,504487	6,701624	0	0	0
234	111	1,497375	6,722151	0	0	0
235	110	1,494485	6,742842	0	0	0
236	110	1,494485	6,742842	0	0	0
237	110	1,494485	6,742842	0	0	0
238	110	1,494485	6,742842	0	0	0
239	111	1,496419	6,753728	0	0	0
240	111	1,496419	6,753728	0	0	0
241	111	1,492215	6,76967	0	0	0
242	111	1,492215	6,76967	0	0	0
243	110	1,492284	6,766993	0	0	0
244	110	1,49425	6,740644	0	0	0
245	111	1,49767	6,757675	0	0	0
246	111	1,49767	6,757675	0	0	0
247	111	1,505332	6,774381	0	0	0
248	111	1,505332	6,774381	0	0	0
249	112	1,508965	6,803547	0	0	0
250	110	1,517688	6,785407	0	0	0
251	110	1,517688	6,785407	0	0	0
252	110	1,507411	6,783328	0	0	0
253	109	1,503411	6,748377	0	0	0
254	110	1,508077	6,739571	0	0	0
255	111	1,511312	6,723948	0	0	0
256	111	1,50739	6,73878	0	0	0
257	112	1,509773	6,745738	0	0	0
258	112	1,509773	6,745738	0	0	0
259	112	1,509773	6,745738	0	0	0
260	113	1,520408	6,735245	0	0	0
261	114	1,522358	6,74448	0	0	0
262	116	1,511994	6,763507	0	0	0
263	116	1,523268	6,77566	0	0	0
264	118	1,523004	6,784112	0	0	0
265	117	1,522532	6,788247	0	0	0
266	117	1,522532	6,788247	0	0	0
267	118	1,526461	6,791803	0	0	0
268	119	1,528156	6,787025	0	0	0
269	117	1,527152	6,780755	0	0	0
270	116	1,52814	6,799963	0	0	0
271	117	1,526823	6,79473	0	0	0
272	119	1,53779	6,785117	0	0	0
273	119	1,53779	6,785117	0	0	0
274	118	1,544904	6,788763	0	0	0
275	119	1,539283	6,772412	0	0	0
276	118	1,542511	6,775699	0	0	0
277	116	1,530979	6,819372	0	0	0
278	116	1,52341	6,809176	0	0	0
279	114	1,517795	6,82264	0	0	0
280	116	1,519518	6,8621	0	0	0
281	117	1,517631	6,850765	0	0	0
282	119	1,517014	6,844664	0	0	0
283	122	1,515891	6,841878	0	0	0
284	122	1,515891	6,841878	0	0	0
285	122	1,515891	6,841878	0	0	0
286	123	1,522437	6,813112	0	0	0
287	123	1,522437	6,813112	0	0	0
288	124	1,521269	6,842719	0	0	0
289	125	1,524072	6,864229	0	0	0
290	126	1,526034	6,870165	0	0	0
291	124	1,524577	6,884126	0	0	0
292	124	1,524577	6,884126	0	0	0
293	123	1,528657	6,888187	0	0	0
294	125	1,538498	6,907266	0	0	0
295	125	1,539868	6,897392	0	0	0
296	126	1,539809	6,910667	0	0	0
297	127	1,543861	6,900306	0	0	0
298	129	1,548793	6,923444	0	0	0
299	130	1,552145	6,922911	0	0	0
300	130	1,552145	6,922911	0	0	0
301	131	1,548876	6,955592	0	0	0
302	131	1,548876	6,955592	0	0	0
303	131	1,548876	6,955592	0	0	0
304	130	1,547437	6,964131	0	0	0
305	130	1,547437	6,964131	0	0	0
306	130	1,549907	6,963003	0	0	0
307	131	1,54543	6,961408	0	0	0
308	131	1,54543	6,961408	0	0	0
309	132	1,549678	6,977467	0	0	0
310	132	1,548337	6,982419	0	0	0
311	132	1,549348	6,978522	0	0	0
312	130	1,551999	6,990975	0	0	0
313	130	1,55233	6,979639	0	0	0
314	130	1,55705	6,983717	0	0	0
315	131	1,549505	6,970194	0	0	0
316	129	1,557758	6,958396	0	0	0
317	131	1,56498	6,987432	0	0	0
318	132	1,558251	7,002285	0	0	0
319	132	1,554869	6,999443	0	0	0
320	132	1,558028	6,982101	0	0	0
321	131	1,559647	6,994896	0	0	0
322	130	1,557996	6,968673	0	0	0
323	132	1,561099	6,990523	0	0	0
324	132	1,561099	6,990523	0	0	0
325	132	1,561099	6,990523	0	0	0
326	132	1,561099	6,990523	0	0	0
327	136	1,564954	6,978701	0	0	0
328	137	1,565464	6,974636	0	0	0
329	137	1,565464	6,974636	0	0	0
330	138	1,568541	6,989741	0	0	0
331	138	1,568541	6,989741	0	0	0
332	139	1,576906	6,976477	0	0	0
333	139	1,583676	6,966919	0	0	0
334	138	1,591309	6,970849	0	0	0
335	136	1,5889	7,006468	0	0	0
336	135	1,58998	7,015741	0	0	0
337	136	1,591962	7,016747	0	0	0
338	137	1,593381	7,006944	0	0	0
339	136	1,596725	7,00619	0	0	0
340	136	1,596725	7,00619	0	0	0
341	137	1,601407	7,029066	0	0	0
342	137	1,601407	7,029066	0	0	0
343	139	1,607305	7,03499	0	0	0
344	139	1,607305	7,03499	0	0	0
345	138	1,60427	7,045376	0	0	0
346	138	1,598259	7,053021	0	0	0
347	137	1,604124	7,048165	0	0	0
348	138	1,600305	7,049526	0	0	0
349	140	1,607655	7,060019	0	0	0
350	140	1,607655	7,060019	0	0	0
351	140	1,603579	7,070263	0	0	0
352	140	1,597693	7,063057	0	0	0
353	142	1,598618	7,073848	0	0	0
354	142	1,598618	7,073848	0	0	0
355	142	1,598618	7,073848	0	0	0
356	140	1,607304	7,117968	0	0	0
357	140	1,613668	7,130672	0	0	0
358	139	1,615692	7,124562	0	0	0
359	140	1,616061	7,121007	0	0	0
360	141	1,613161	7,121293	0	0	0
361	141	1,61978	7,138657	0	0	0
362	142	1,630096	7,136939	0	0	0
363	142	1,633703	7,136373	0	0	0
364	142	1,633703	7,136373	0	0	0
365	140	1,633395	7,141065	0	0	0
366	140	1,633395	7,141065	0	0	0
367	142	1,642255	7,160591	0	0	0
368	142	1,642255	7,160591	0	0	0
369	141	1,646051	7,152574	0	0	0
