TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
0	50	1,37493	5,88734	0	0	0
1	50	1,37493	5,88734	0	0	0
2	50	1,37493	5,88734	0	0	0
3	50	1,37493	5,88734	0	0	0
4	50	1,37493	5,88734	0	0	0
5	50	1,37493	5,88734	0	0	0
6	50	1,37493	5,88734	0	0	0
7	50	1,37493	5,88734	0	0	0
8	50	1,37493	5,88734	0	0	0
9	50	1,37493	5,88734	0	0	0
10	50	1,37493	5,88734	0	0	0
11	50	1,37493	5,88734	0	0	0
12	50	1,37493	5,88734	0	0	0
13	51	1,38188	5,933715	0	0	0
14	51	1,38188	5,933715	0	0	0
15	51	1,38188	5,933715	0	0	0
16	51	1,38188	5,933715	0	0	0
17	52	1,382738	5,93141	0	0	0
18	54	1,372817	5,916274	0	0	0
19	54	1,372817	5,916274	0	0	0
20	54	1,372817	5,916274	0	0	0
21	54	1,372817	5,916274	0	0	0
22	54	1,372817	5,916274	0	0	0
23	54	1,372817	5,916274	0	0	0
24	55	1,387266	5,943208	0	0	0
25	56	1,394014	5,933693	0	0	0
26	56	1,394014	5,933693	0	0	0
27	57	1,384394	5,916355	0	0	0
28	59	1,389247	5,937397	0	0	0
29	61	1,392593	5,959994	0	0	0
30	63	1,399989	5,935681	0	0	0
31	64	1,396528	5,931072	0	0	0
32	65	1,398694	5,933178	0	0	0
33	66	1,390349	5,915769	0	0	0
34	66	1,390349	5,915769	0	0	0
35	68	1,400337	5,923563	0	0	0
36	69	1,389702	5,913448	0	0	0
37	69	1,389702	5,913448	0	0	0
38	70	1,398336	5,921767	0	0	0
39	72	1,396093	5,893354	0	0	0
40	73	1,394879	5,905917	0	0	0
41	74	1,394655	5,90253	0	0	0
42	76	1,397082	5,922368	0	0	0
43	76	1,397082	5,922368	0	0	0
44	76	1,397082	5,922368	0	0	0
45	76	1,397082	5,922368	0	0	0
46	76	1,397082	5,922368	0	0	0
47	77	1,395047	5,953682	0	0	0
48	78	1,388509	5,969651	0	0	0
49	78	1,388509	5,969651	0	0	0
50	80	1,394485	5,964051	0	0	0
51	82	1,391523	5,941368	0	0	0
52	82	1,391523	5,941368	0	0	0
53	82	1,391523	5,941368	0	0	0
54	82	1,391523	5,941368	0	0	0
55	84	1,389145	5,950292	0	0	0
56	86	1,395973	5,96323	0	0	0
57	86	1,395973	5,96323	0	0	0
58	87	1,389561	5,961839	0	0	0
59	87	1,389561	5,961839	0	0	0
60	88	1,400812	5,963995	0	0	0
61	89	1,399078	5,939635	0	0	0
62	91	1,406327	5,983449	0	0	0
63	92	1,402739	5,988945	0	0	0
64	93	1,400563	5,983932	0	0	0
65	94	1,397869	6,007718	0	0	0
66	95	1,39643	6,022422	0	0	0
67	96	1,399475	6,01944	0	0	0
68	97	1,394413	6,029494	0	0	0
69	99	1,401456	6,006512	0	0	0
70	99	1,401456	6,006512	0	0	0
71	101	1,408775	5,992119	0	0	0
72	103	1,399928	5,996557	0	0	0
73	103	1,399928	5,996557	0	0	0
74	104	1,402697	5,997887	0	0	0
75	104	1,402697	5,997887	0	0	0
76	104	1,402697	5,997887	0	0	0
77	104	1,402697	5,997887	0	0	0
78	105	1,398928	5,982583	0	0	0
79	107	1,398858	5,989473	0	0	0
80	108	1,39846	5,992334	0	0	0
81	109	1,39558	5,990755	0	0	0
82	112	1,388377	5,993248	0	0	0
83	112	1,388377	5,993248	0	0	0
84	112	1,388377	5,993248	0	0	0
85	113	1,38475	6,005687	0	0	0
86	115	1,400885	5,997363	0	0	0
87	115	1,400885	5,997363	0	0	0
88	115	1,400885	5,997363	0	0	0
89	116	1,401026	5,998954	0	0	0
90	119	1,402688	6,000811	0	0	0
91	120	1,406471	5,997661	0	0	0
92	122	1,409101	5,990763	0	0	0
93	122	1,409101	5,990763	0	0	0
94	123	1,413506	5,98249	0	0	0
95	124	1,420526	5,985698	0	0	0
96	124	1,420526	5,985698	0	0	0
97	126	1,416013	5,979053	0	0	0
98	127	1,419244	5,978132	0	0	0
99	128	1,421213	5,966913	0	0	0
100	129	1,421551	5,963048	0	0	0
101	131	1,425785	5,94859	0	0	0
102	132	1,42519	5,957165	0	0	0
103	132	1,42519	5,957165	0	0	0
104	134	1,423482	5,976912	0	0	0
105	135	1,420937	5,978311	0	0	0
106	136	1,417164	5,972059	0	0	0
107	136	1,408763	5,961742	0	0	0
108	135	1,406408	5,968637	0	0	0
109	138	1,41081	6,021079	0	0	0
110	138	1,41424	6,011312	0	0	0
111	139	1,414243	6,007606	0	0	0
112	142	1,425333	5,975181	0	0	0
113	141	1,419404	5,983029	0	0	0
114	142	1,419869	5,96947	0	0	0
115	142	1,419869	5,96947	0	0	0
116	143	1,421317	5,964499	0	0	0
117	148	1,414066	5,956462	0	0	0
118	148	1,414066	5,956462	0	0	0
119	148	1,414066	5,956462	0	0	0
120	150	1,410483	5,964751	0	0	0
121	152	1,413094	5,98651	0	0	0
122	152	1,413876	5,99124	0	0	0
123	154	1,419379	5,988633	0	0	0
124	155	1,424069	5,987581	0	0	0
125	153	1,420818	5,997583	0	0	0
126	154	1,421251	6,008379	0	0	0
127	155	1,419446	6,008379	0	0	0
128	157	1,420759	6,015718	0	0	0
129	159	1,420766	6,017335	0	0	0
130	158	1,421183	6,018613	0	0	0
131	157	1,423615	6,018916	0	0	0
132	159	1,424314	6,01321	0	0	0
133	160	1,42715	6,026247	0	0	0
134	161	1,427576	6,023311	0	0	0
135	163	1,431284	6,025128	0	0	0
136	165	1,434269	6,022469	0	0	0
137	164	1,432751	6,016916	0	0	0
138	164	1,435269	6,009624	0	0	0
139	165	1,43187	6,003346	0	0	0
140	166	1,435132	5,995023	0	0	0
