TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
0	100	1,534523	6,152092	10	2,53406	9,026628
1	100	1,534523	6,152092	10	2,53406	9,026628
2	98	1,538347	6,161125	10	2,53406	9,026628
3	95	1,532791	6,146786	10	2,53406	9,026628
4	94	1,534414	6,154932	10	2,53406	9,026628
5	91	1,550809	6,142402	10	2,53406	9,026628
6	88	1,56064	6,157984	10	2,53406	9,026628
7	87	1,568993	6,139045	10	2,53406	9,026628
8	87	1,568993	6,139045	10	2,53406	9,026628
9	88	1,569094	6,148427	10	2,53406	9,026628
10	88	1,570195	6,176913	10	2,53406	9,026628
11	88	1,563752	6,210794	10	2,53406	9,026628
12	87	1,561873	6,204759	10	2,53406	9,026628
13	87	1,559751	6,221144	10	2,53406	9,026628
14	89	1,550731	6,241469	10	2,53406	9,026628
15	89	1,550731	6,241469	10	2,53406	9,026628
16	90	1,551801	6,254206	10	2,53406	9,026628
17	90	1,552583	6,24822	10	2,53406	9,026628
18	90	1,548936	6,261332	10	2,53406	9,026628
19	91	1,555945	6,297492	10	2,53406	9,026628
20	92	1,560987	6,265832	10	2,53406	9,026628
21	92	1,560987	6,265832	10	2,53406	9,026628
22	94	1,567174	6,296658	10	2,53406	9,026628
23	93	1,56987	6,301205	10	2,53406	9,026628
24	94	1,573843	6,29445	10	2,53406	9,026628
25	93	1,581807	6,271202	10	2,53406	9,026628
26	94	1,592577	6,288472	10	2,53406	9,026628
27	94	1,592577	6,288472	10	2,53406	9,026628
28	95	1,59513	6,296083	10	2,53406	9,026628
29	95	1,59513	6,296083	10	2,53406	9,026628
30	95	1,59513	6,296083	10	2,53406	9,026628
31	97	1,599825	6,320379	10	2,53406	9,026628
32	97	1,609951	6,325239	10	2,53406	9,026628
33	100	1,605224	6,333421	10	2,53406	9,026628
34	102	1,605016	6,332757	10	2,53406	9,026628
35	103	1,601566	6,34418	10	2,53406	9,026628
36	104	1,600868	6,344863	10	2,53406	9,026628
37	105	1,60565	6,35285	10	2,53406	9,026628
38	104	1,605996	6,36171	10	2,53406	9,026628
39	104	1,605996	6,36171	10	2,53406	9,026628
40	105	1,612177	6,355978	10	2,53406	9,026628
41	107	1,611035	6,348402	10	2,53406	9,026628
42	107	1,611035	6,348402	10	2,53406	9,026628
43	107	1,611035	6,348402	10	2,53406	9,026628
44	110	1,607071	6,370355	10	2,53406	9,026628
45	110	1,607071	6,370355	10	2,53406	9,026628
46	111	1,598385	6,369151	10	2,53406	9,026628
47	112	1,59457	6,354904	10	2,53406	9,026628
48	114	1,590324	6,378845	10	2,53406	9,026628
49	117	1,589308	6,348794	10	2,53406	9,026628
50	118	1,585755	6,345774	10	2,53406	9,026628
51	119	1,58083	6,341158	10	2,53406	9,026628
52	122	1,585188	6,351971	10	2,53406	9,026628
53	126	1,592099	6,335802	10	2,53406	9,026628
54	128	1,594391	6,311214	10	2,53406	9,026628
55	132	1,586791	6,337512	10	2,53406	9,026628
56	133	1,587799	6,344304	10	2,53406	9,026628
57	135	1,5844	6,349093	10	2,53406	9,026628
58	136	1,580672	6,330894	10	2,53406	9,026628
59	135	1,584999	6,323647	10	2,53406	9,026628
60	137	1,589959	6,308561	10	2,53406	9,026628
61	141	1,581154	6,3154	10	2,53406	9,026628
62	142	1,578479	6,310837	10	2,53406	9,026628
63	143	1,576144	6,294943	10	2,53406	9,026628
64	149	1,575685	6,293538	10	2,53406	9,026628
65	149	1,575685	6,293538	10	2,53406	9,026628
66	150	1,569771	6,291811	10	2,53406	9,026628
67	151	1,567966	6,284148	10	2,53406	9,026628
68	152	1,571375	6,291312	10	2,53406	9,026628
69	153	1,56793	6,301974	10	2,53406	9,026628
70	154	1,573516	6,310606	10	2,53406	9,026628
71	154	1,573516	6,310606	12	2,611619	8,910977
72	155	1,576226	6,307381	12	2,611619	8,910977
73	154	1,574953	6,295464	12	2,611619	8,910977
74	157	1,573792	6,314492	12	2,611619	8,910977
75	159	1,574404	6,302292	12	2,611619	8,910977
76	157	1,573469	6,297007	12	2,611619	8,910977
77	160	1,56459	6,315358	12	2,611619	8,910977
78	161	1,564534	6,31246	12	2,611619	8,910977
79	163	1,563068	6,320723	12	2,611619	8,910977
80	166	1,562216	6,291669	12	2,611619	8,910977
81	166	1,562321	6,293548	12	2,611619	8,910977
82	171	1,566901	6,276075	12	2,611619	8,910977
83	173	1,570313	6,275065	12	2,611619	8,910977
84	174	1,567078	6,286266	12	2,611619	8,910977
85	173	1,560843	6,30687	12	2,611619	8,910977
86	171	1,562312	6,299822	12	2,611619	8,910977
87	173	1,564306	6,293036	12	2,611619	8,910977
88	174	1,56589	6,303012	12	2,611619	8,910977
89	176	1,565057	6,321138	12	2,611619	8,910977
90	178	1,567386	6,326887	12	2,611619	8,910977
91	181	1,569936	6,320462	12	2,611619	8,910977
92	182	1,568553	6,329618	12	2,611619	8,910977
93	184	1,569781	6,338739	12	2,611619	8,910977
94	185	1,57111	6,33312	12	2,611619	8,910977
95	185	1,57111	6,33312	12	2,611619	8,910977
96	187	1,568727	6,342182	12	2,611619	8,910977
97	191	1,575378	6,33778	12	2,611619	8,910977
98	193	1,580324	6,350599	12	2,611619	8,910977
99	194	1,579137	6,340446	12	2,611619	8,910977
100	197	1,576276	6,346545	12	2,611619	8,910977
101	196	1,57876	6,338923	12	2,611619	8,910977
102	198	1,574617	6,342598	12	2,611619	8,910977
103	199	1,577506	6,33225	12	2,611619	8,910977
104	201	1,570209	6,294369	12	2,611619	8,910977
105	202	1,568625	6,303784	12	2,611619	8,910977
106	204	1,565779	6,291708	12	2,611619	8,910977
107	207	1,565458	6,278063	12	2,611619	8,910977
108	211	1,562249	6,298179	12	2,611619	8,910977
109	212	1,563047	6,306602	12	2,611619	8,910977
110	213	1,568246	6,300078	12	2,611619	8,910977
111	214	1,561595	6,291442	12	2,611619	8,910977
112	216	1,564376	6,289761	12	2,611619	8,910977
113	219	1,564699	6,282102	12	2,611619	8,910977
114	219	1,563656	6,293792	12	2,611619	8,910977
115	219	1,565691	6,291093	12	2,611619	8,910977
116	222	1,566644	6,28331	12	2,611619	8,910977
117	224	1,564094	6,293834	12	2,611619	8,910977
118	229	1,569741	6,305707	12	2,611619	8,910977
119	230	1,569874	6,308044	12	2,611619	8,910977
120	233	1,576751	6,321203	12	2,611619	8,910977
121	236	1,573794	6,325418	12	2,611619	8,910977
122	239	1,579605	6,335465	12	2,611619	8,910977
123	240	1,577874	6,328433	12	2,611619	8,910977
124	240	1,577874	6,328433	12	2,611619	8,910977
125	238	1,579585	6,358631	12	2,611619	8,910977
126	241	1,57493	6,338174	12	2,611619	8,910977
127	245	1,578505	6,314479	12	2,611619	8,910977
128	246	1,578018	6,319129	12	2,611619	8,910977
129	250	1,578297	6,308709	12	2,611619	8,910977
130	251	1,577246	6,318486	12	2,611619	8,910977
131	250	1,579789	6,316395	13	2,573436	8,893284
132	254	1,578069	6,342698	13	2,573436	8,893284
133	257	1,578245	6,351611	13	2,573436	8,893284
134	258	1,575483	6,34887	14	2,596693	8,845176
135	264	1,573226	6,345397	14	2,596693	8,845176
136	265	1,575773	6,347022	14	2,596693	8,845176
137	265	1,577798	6,349637	14	2,596693	8,845176
138	267	1,571682	6,382175	14	2,596693	8,845176
139	268	1,572889	6,370269	14	2,596693	8,845176
140	270	1,576222	6,384005	14	2,596693	8,845176
141	272	1,575059	6,365145	14	2,596693	8,845176
142	271	1,57693	6,376326	14	2,596693	8,845176
143	276	1,580601	6,379518	15	2,604527	8,6882
144	278	1,586161	6,372541	15	2,604527	8,6882
145	279	1,590907	6,369402	15	2,604527	8,6882
146	276	1,588615	6,375645	15	2,604527	8,6882
147	275	1,587003	6,388249	15	2,604527	8,6882
148	277	1,591401	6,369217	15	2,604527	8,6882
149	274	1,59187	6,370311	15	2,604527	8,6882
150	273	1,593097	6,378995	15	2,604527	8,6882
151	272	1,593765	6,383754	15	2,604527	8,6882
152	273	1,591359	6,393079	14	2,616995	8,73395
153	272	1,585888	6,402739	14	2,616995	8,73395
154	268	1,589533	6,404164	14	2,616995	8,73395
155	269	1,592764	6,392558	15	2,583421	8,899865
156	271	1,598002	6,389646	15	2,583421	8,899865
157	272	1,60658	6,391308	15	2,583421	8,899865
158	274	1,608168	6,382782	15	2,583421	8,899865
159	277	1,60913	6,385122	15	2,583421	8,899865
160	276	1,615336	6,366547	15	2,583421	8,899865
161	277	1,61528	6,37397	15	2,583421	8,899865
162	279	1,612371	6,36486	15	2,583421	8,899865
163	280	1,61321	6,360093	14	2,611391	8,909929
164	281	1,613364	6,365984	14	2,611391	8,909929
165	280	1,612053	6,370339	14	2,611391	8,909929
166	278	1,610551	6,368012	14	2,611391	8,909929
167	276	1,614022	6,375137	14	2,611391	8,909929
168	279	1,613874	6,384431	14	2,611391	8,909929
169	282	1,625381	6,409356	14	2,611391	8,909929
170	284	1,628904	6,408021	14	2,611391	8,909929
171	288	1,634421	6,409687	14	2,611391	8,909929
172	289	1,631851	6,424062	14	2,611391	8,909929
173	293	1,632125	6,425799	14	2,611391	8,909929
174	295	1,631526	6,429498	14	2,611391	8,909929
175	297	1,636457	6,427348	14	2,611391	8,909929
176	298	1,637244	6,425848	14	2,611391	8,909929
177	297	1,641522	6,437231	14	2,611391	8,909929
178	301	1,641845	6,438297	14	2,611391	8,909929
179	302	1,642637	6,438407	15	2,579957	8,83285
180	304	1,640956	6,433638	15	2,579957	8,83285
181	305	1,637163	6,43805	15	2,579957	8,83285
182	307	1,640558	6,4448	15	2,579957	8,83285
183	308	1,642702	6,441183	14	2,58217	8,705284
184	312	1,644197	6,426812	14	2,58217	8,705284
185	313	1,646888	6,429758	14	2,58217	8,705284
186	311	1,651207	6,432303	14	2,58217	8,705284
187	315	1,658808	6,420414	14	2,58217	8,705284
188	317	1,660007	6,428951	14	2,58217	8,705284
189	314	1,660773	6,437435	14	2,58217	8,705284
190	313	1,660847	6,441558	14	2,58217	8,705284
191	318	1,653282	6,43477	14	2,58217	8,705284
192	320	1,65929	6,434364	14	2,58217	8,705284
193	320	1,657737	6,436696	14	2,58217	8,705284
194	324	1,658687	6,444967	14	2,58217	8,705284
195	323	1,660937	6,444598	14	2,58217	8,705284
196	329	1,660064	6,427387	14	2,58217	8,705284
197	328	1,659888	6,430119	14	2,58217	8,705284
198	329	1,663151	6,430024	14	2,58217	8,705284
199	331	1,660854	6,416179	14	2,58217	8,705284
200	331	1,660913	6,416961	14	2,58217	8,705284
201	334	1,663854	6,428685	14	2,58217	8,705284
202	336	1,663283	6,442194	15	2,6486	8,654387
203	339	1,659535	6,453435	16	2,66101	8,627558
204	343	1,66077	6,447395	16	2,66101	8,627558
205	345	1,662545	6,443824	16	2,66101	8,627558
206	348	1,662916	6,441561	16	2,66101	8,627558
207	353	1,664637	6,455517	16	2,66101	8,627558
208	356	1,659546	6,46344	16	2,66101	8,627558
209	358	1,658851	6,460429	16	2,66101	8,627558
210	360	1,661239	6,466183	16	2,66101	8,627558
211	361	1,662952	6,465385	16	2,66101	8,627558
212	362	1,662379	6,460023	16	2,66101	8,627558
213	358	1,662135	6,452177	16	2,66101	8,627558
214	362	1,658686	6,435309	16	2,66101	8,627558
215	362	1,664729	6,432026	16	2,66101	8,627558
216	363	1,661881	6,426051	16	2,66101	8,627558
