TimeStep	 Blip Population	 Blip Speed	 Blip Vision	 Blips Born	 Blips Died	 Predator Population	 Predator Speed	 Predator Vision	 Predators Born	 Predators Died
0	300	1,501622	8,462858	0	0	10	2,534129	8,748631	0	0
1	298	1,502335	8,461742	0	2	10	2,534129	8,748631	0	0
2	294	1,503801	8,461129	0	4	10	2,534129	8,748631	0	0
3	293	1,503192	8,463322	0	1	10	2,534129	8,748631	0	0
4	293	1,503192	8,463322	0	0	10	2,534129	8,748631	0	0
5	293	1,503192	8,463322	0	0	10	2,534129	8,748631	0	0
6	296	1,50259	8,465987	4	1	10	2,534129	8,748631	0	0
7	303	1,504865	8,468745	7	0	10	2,534129	8,748631	0	0
8	307	1,505231	8,470408	4	0	10	2,534129	8,748631	0	0
9	309	1,506095	8,470383	2	0	10	2,534129	8,748631	0	0
10	312	1,506368	8,473531	3	0	10	2,534129	8,748631	0	0
11	315	1,508567	8,467138	4	1	10	2,534129	8,748631	0	0
12	320	1,50763	8,469904	5	0	10	2,534129	8,748631	0	0
13	325	1,507355	8,470229	5	0	10	2,534129	8,748631	0	0
14	329	1,506608	8,470672	5	1	10	2,534129	8,748631	0	0
15	335	1,505548	8,474286	6	0	10	2,534129	8,748631	0	0
16	342	1,505995	8,482913	7	0	10	2,534129	8,748631	0	0
17	350	1,503767	8,479558	8	0	10	2,534129	8,748631	0	0
18	356	1,501864	8,477372	6	0	10	2,534129	8,748631	0	0
19	365	1,499462	8,468563	9	0	10	2,534129	8,748631	0	0
20	371	1,498059	8,464535	6	0	10	2,534129	8,748631	0	0
21	377	1,501526	8,462268	6	0	10	2,534129	8,748631	0	0
22	383	1,502947	8,46218	6	0	10	2,534129	8,748631	0	0
23	391	1,503079	8,45991	8	0	10	2,534129	8,748631	0	0
24	400	1,503733	8,456731	9	0	10	2,534129	8,748631	0	0
25	408	1,504749	8,462875	8	0	10	2,534129	8,748631	0	0
26	404	1,503371	8,473289	14	18	10	2,534129	8,748631	0	0
27	400	1,506019	8,468446	4	8	10	2,534129	8,748631	0	0
28	392	1,503038	8,463914	7	15	10	2,534129	8,748631	0	0
29	385	1,506749	8,458762	8	15	10	2,534129	8,748631	0	0
30	380	1,508201	8,460224	5	10	10	2,534129	8,748631	0	0
31	371	1,506869	8,44895	7	16	10	2,534129	8,748631	0	0
32	366	1,50883	8,445937	7	12	10	2,534129	8,748631	0	0
33	361	1,508729	8,442358	7	12	10	2,534129	8,748631	0	0
34	363	1,50495	8,451602	7	5	10	2,534129	8,748631	0	0
35	358	1,502185	8,449549	10	15	10	2,534129	8,748631	0	0
36	357	1,502967	8,448919	8	9	10	2,534129	8,748631	0	0
37	352	1,501548	8,454748	5	10	10	2,534129	8,748631	0	0
38	352	1,502271	8,462064	6	6	10	2,534129	8,748631	0	0
39	346	1,503542	8,462017	4	10	10	2,534129	8,748631	0	0
40	347	1,504068	8,46676	8	7	10	2,534129	8,748631	0	0
41	340	1,504831	8,46216	5	12	10	2,534129	8,748631	0	0
42	337	1,506488	8,467502	7	10	10	2,534129	8,748631	0	0
43	326	1,507436	8,455244	3	14	10	2,534129	8,748631	0	0
44	325	1,508654	8,455666	6	7	10	2,534129	8,748631	0	0
45	311	1,511939	8,447732	4	18	10	2,534129	8,748631	0	0
46	304	1,512786	8,448661	8	15	10	2,534129	8,748631	0	0
47	296	1,514549	8,45248	5	13	10	2,534129	8,748631	0	0
48	290	1,511661	8,443226	7	13	10	2,534129	8,748631	0	0
49	288	1,508839	8,438712	7	9	10	2,534129	8,748631	0	0
50	280	1,515223	8,434657	3	11	10	2,534129	8,748631	0	0
51	283	1,513828	8,430346	3	0	11	2,581943	8,711562	1	0
52	287	1,514681	8,428349	4	0	11	2,581943	8,711562	0	0
53	292	1,513807	8,424774	5	0	11	2,581943	8,711562	0	0
54	299	1,515428	8,431288	8	1	11	2,581943	8,711562	0	0
55	305	1,518034	8,435173	7	1	11	2,581943	8,711562	0	0
56	306	1,521417	8,426625	6	5	11	2,581943	8,711562	0	0
57	302	1,520064	8,421148	4	8	11	2,581943	8,711562	0	0
58	306	1,519049	8,421303	8	4	11	2,581943	8,711562	0	0
59	312	1,514628	8,428498	8	2	11	2,581943	8,711562	0	0
60	314	1,512968	8,420312	6	4	12	2,595826	8,745774	1	0
61	317	1,511118	8,415153	7	4	12	2,595826	8,745774	0	0
62	317	1,513356	8,407754	6	6	12	2,595826	8,745774	0	0
63	317	1,514846	8,401662	6	6	12	2,595826	8,745774	0	0
64	317	1,514613	8,400874	6	6	12	2,595826	8,745774	0	0
65	318	1,515478	8,383431	8	7	12	2,595826	8,745774	0	0
66	315	1,515747	8,365429	5	8	12	2,595826	8,745774	0	0
67	313	1,514804	8,37356	6	8	12	2,595826	8,745774	0	0
68	315	1,51379	8,383475	9	7	12	2,595826	8,745774	0	0
69	315	1,522456	8,392382	10	10	12	2,595826	8,745774	0	0
70	315	1,524249	8,388239	6	6	12	2,595826	8,745774	0	0
71	319	1,521631	8,385767	7	3	12	2,595826	8,745774	0	0
72	318	1,518964	8,363491	5	6	12	2,595826	8,745774	0	0
73	317	1,518857	8,375703	7	8	12	2,595826	8,745774	0	0
74	312	1,522065	8,357817	5	10	12	2,595826	8,745774	0	0
75	309	1,519388	8,346785	5	8	12	2,595826	8,745774	0	0
76	300	1,520512	8,339059	4	13	12	2,595826	8,745774	0	0
77	301	1,516801	8,341713	5	4	12	2,595826	8,745774	0	0
78	296	1,518932	8,332633	4	9	12	2,595826	8,745774	0	0
79	292	1,514825	8,328816	4	8	12	2,595826	8,745774	0	0
80	296	1,516329	8,342286	8	4	12	2,595826	8,745774	0	0
81	293	1,518906	8,352397	6	9	12	2,595826	8,745774	0	0
82	293	1,517237	8,353711	7	7	12	2,595826	8,745774	0	0
83	292	1,516573	8,345634	5	6	12	2,595826	8,745774	0	0
84	289	1,518488	8,341658	4	7	12	2,595826	8,745774	0	0
85	286	1,518672	8,347449	6	9	12	2,595826	8,745774	0	0
86	283	1,51587	8,346897	4	7	12	2,595826	8,745774	0	0
87	280	1,51888	8,344928	3	6	13	2,619071	8,74344	1	0
88	281	1,520814	8,334747	6	5	13	2,619071	8,74344	0	0
89	285	1,519545	8,3349	8	4	13	2,619071	8,74344	0	0
90	284	1,519629	8,319287	7	8	13	2,619071	8,74344	0	0
91	286	1,523697	8,316956	7	5	13	2,619071	8,74344	0	0
92	284	1,522459	8,32399	6	8	13	2,619071	8,74344	0	0
93	284	1,525446	8,321152	4	4	13	2,619071	8,74344	0	0
94	284	1,525431	8,325007	7	7	13	2,619071	8,74344	0	0
95	287	1,52898	8,325955	8	5	13	2,619071	8,74344	0	0
96	284	1,531912	8,324036	4	7	13	2,619071	8,74344	0	0
97	283	1,537341	8,326309	4	5	13	2,619071	8,74344	0	0
98	284	1,536587	8,310655	7	6	13	2,619071	8,74344	0	0
99	280	1,539118	8,308241	5	9	13	2,619071	8,74344	0	0
100	281	1,532725	8,297091	4	3	13	2,619071	8,74344	0	0
101	287	1,531114	8,312535	8	2	13	2,619071	8,74344	0	0
102	289	1,531325	8,306805	6	4	13	2,619071	8,74344	0	0
103	286	1,532934	8,313252	2	5	13	2,619071	8,74344	0	0
104	287	1,533759	8,299677	8	7	13	2,619071	8,74344	0	0
105	284	1,535832	8,291768	4	7	13	2,619071	8,74344	0	0
106	281	1,533661	8,29138	2	5	13	2,619071	8,74344	0	0
107	286	1,535958	8,307538	9	4	13	2,619071	8,74344	0	0
108	285	1,542807	8,297662	7	8	13	2,619071	8,74344	0	0
109	286	1,546053	8,286742	8	7	13	2,619071	8,74344	0	0
110	281	1,547759	8,288981	1	6	13	2,619071	8,74344	0	0
111	281	1,549802	8,295052	8	8	13	2,619071	8,74344	0	0
112	280	1,548414	8,291251	3	4	13	2,619071	8,74344	0	0
113	282	1,548155	8,295756	8	6	14	2,611263	8,758521	1	0
114	281	1,55243	8,278073	6	7	14	2,611263	8,758521	0	0
115	280	1,552142	8,282173	7	8	14	2,611263	8,758521	0	0
116	282	1,546291	8,292983	5	3	14	2,611263	8,758521	0	0
117	282	1,551024	8,293114	6	6	14	2,611263	8,758521	0	0
118	279	1,556094	8,293609	5	8	14	2,611263	8,758521	0	0
119	274	1,552408	8,28276	4	9	14	2,611263	8,758521	0	0
120	274	1,556005	8,288481	5	5	14	2,611263	8,758521	0	0
121	272	1,557077	8,30067	6	8	14	2,611263	8,758521	0	0
122	269	1,557919	8,310246	2	5	14	2,611263	8,758521	0	0
123	272	1,561452	8,29907	10	7	14	2,611263	8,758521	0	0
124	272	1,558236	8,316561	5	5	15	2,608913	8,7886	1	0
125	271	1,557898	8,311408	4	5	15	2,608913	8,7886	0	0
126	272	1,556818	8,325782	5	4	15	2,608913	8,7886	0	0
127	271	1,559803	8,309975	6	7	15	2,608913	8,7886	0	0
128	271	1,563126	8,326391	4	4	15	2,608913	8,7886	0	0
129	269	1,566846	8,326067	4	6	15	2,608913	8,7886	0	0
130	270	1,563523	8,325669	7	6	15	2,608913	8,7886	0	0
131	270	1,563178	8,312586	7	7	15	2,608913	8,7886	0	0
132	270	1,562612	8,3198	6	6	15	2,608913	8,7886	0	0
